Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Department,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,AMC 875,Metallura,iracunda,,,Apodiformes,U,,Sun Jul 06 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",vda. Sabana Rubia,Casa de vidrio,10°22'01.0',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,C6",0,,0,2,1,0,,0,
GAM,JEA 676,Anisognathus,lacrymosus,pallididorsalis,,Passeriformes,M,,Sun Jul 06 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",Sabana Rubia,Casa de vidrio,10°21'50.3'',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,E5",0,,0,0,1,0,,0,
GAM,NG10,Accipiter,ventralis,,,Accipitriformes,U,,Mon Jul 07 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. Sabana Rubia, Casa de vidrio",vda. Sabana Rubia,Casa de vidrio,10°22'01.0',072°53'50.9'',3025,YES,,Universidad Icesi,"E1,D10",0,,0,0,0,1,,0,
GAM,JEA 711,Scytalopus,perijanus,,,Passeriformes,M,,Sun Jul 13 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,B10",0,,0,0,7,0,,0,
GAM,JEA 713,Scytalopus,perijanus,,,Passeriformes,F,,Sun Jul 13 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,D4",0,,0,0,0,0,1,,
GAM,JEA 715,Dubusia,taeniata,taeniata,,Passeriformes,M,,Sun Jul 13 00:00:00 PDT 2008,Colombia,Cesar,Manaure,"Manaure, vda. El Cinco, arriba del Cinco",El Cinco,arriba del Cinco,10°21'50.3'',072°56'50.6'',2550,YES,,Universidad Icesi,"E1,F3",0,,0,3,0,0,,0,
GAM,JEA 728,Vireo,leucophrys,leucophrys,,Passeriformes,F,,Tue Mar 17 00:00:00 PDT 2009,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D8",1,,ju,0,0,0,,0,
GAM,JEA 731,Mecocerculus,leucophrys,setophagoides,,Passeriformes,F,,Wed Mar 18 00:00:00 PDT 2009,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,E6",1,,ad,0,0,0,,0,
GAM,JEA 736,Basileuterus,tristriatus,auricularis,,Passeriformes,F,,Thu Mar 19 00:00:00 PDT 2009,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D5",1,,ju,0,0,0,,0,
GAM,JEA 741,Mionectes,olivaceus,hederaceus,,Passeriformes,M,,Fri Mar 20 00:00:00 PDT 2009,Colombia,Santander,Piedecuesta,"Vda. Cristales, Reserva El Rasgon, sendero ecologico",Cristales,"Reserva el rasgon, sendero ecologico",7°2'24.21'',072°59'19.42'',2200,YES,,Universidad Icesi,"P1,D4",1,,ju,0,0,0,,0,
GAM,JEA 742,Saltator,atripennis,caniceps,,Passeriformes,F,,Tue Mar 24 00:00:00 PDT 2009,Colombia,Santander,Floridablanca,"Floridablanca, vda. La Judia, Reserva Maklenkes",vda. La Judia,Reserva Maklenkes,7°5'3.6'',073°1'14.2'',1700,YES,,Universidad Icesi,"E1,B6",0,,0,0,1,0,,0,
GAM,JEA 749,Tangara,heinei,,,Passeriformes,M,,Thu Mar 26 00:00:00 PDT 2009,Colombia,Santander,Floridablanca,"Floridablanca, vda. La Judia, Reserva Maklenkes",vda. La Judia,Reserva Maklenkes,7°5'3.6'',073°1'14.2'',1700,YES,,Universidad Icesi,"E1,C9",0,,0,0,0,1,,0,
GAM,JEA 786,Mecocerculus,leucophrys,setophagoides,,Passeriformes,F,,Mon Jul 27 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, Fca. La Paterna",vda. San Isidro,Fca. La Paterna,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,E10",0,,0,3,0,0,,0,
GAM,JEA 787,Scytalopus,griseicollis,,,Passeriformes,M,,Tue Jul 28 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, arriba Fca. La Paterna",vda. San Isidro,arriba Fca. La Paterna,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,D3",0,,0,0,3,0,,0,
GAM,JEA 789,Scytalopus,griseicollis,,,Passeriformes,F,,Tue Jul 28 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, La Corcova",vda. San Isidro,La Corcova,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,A1",0,,0,>5,0,0,,0,
GAM,JEA 789,Scytalopus,griseicollis,,,Passeriformes,F,,Tue Jul 28 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, La Corcova",vda. San Isidro,La Corcova,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"P1,E8;E1,D2",5,,ba-ju,0,some,0,,0,
GAM,JEA 790,Tangara,vassorii,vassorii,,Passeriformes,F,,Wed Jul 29 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,D1",0,,0,4,0,0,,0,
GAM,JEA 791,Tangara,vassorii,vassorii,,Passeriformes,M,,Wed Jul 29 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,E8",0,,0,10,0,0,,0,
GAM,JEA 792,Colaptes,rivolii,,,Piciformes,F,,Wed Jul 29 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,C7",0,,0,2,0,0,,0,
GAM,JEA 793,Caprimulgus,longirostris,,,Caprimulgiformes,U,,Thu Jul 30 00:00:00 PDT 2009,Colombia,Santander,San Andres,"San Andres, arriba Fca. Salabuga, Queb. Salabuga",arriba Fca. Salabuga,Queb. Salabuga,Buscar,Buscar,2700,YES,,Universidad Icesi,"P1,C6",7,,ju-ad,0,0,0,,0,
GAM,JEA 794,Hemispingus,superciliaris,,,Passeriformes,F,,Thu Jul 30 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Pozo el Indio",vda. Potrero de Rodriguez,"La Pica, Pozo el Indio",6°43'',072°47'',2950,NO,,,,,,,,,,,,
GAM,JEA 797,Troglodytes,aedon,,,Passeriformes,U,,Fri Jul 31 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,D3",10,,ju-ad,0,0,0,,0,
GAM,JEA 799,Henicorhina,leucophrys,,,Passeriformes,U,,Fri Jul 31 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F1",0,,0,0,0,0,,10 HFM,
