Day,Isolate,Temp,Lineage,Counts
3,LA,21,Stable,129
3,LA,21,Stable,133
3,LA,21,Stable,131
3,LA,21,Stable,130.5
3,LA,21,Current,275
3,LA,21,Current,286
3,LA,21,Current,320
3,LA,21,Current,307.5
3,LA,21,Future,230
3,LA,21,Future,200
3,LA,21,Future,265
3,LA,21,Future,279
3,LA,5,Stable,0
3,LA,5,Stable,0
3,LA,5,Stable,0
3,LA,5,Stable,0
3,LA,5,Current,0
3,LA,5,Current,0
3,LA,5,Current,0
3,LA,5,Current,0
3,LA,5,Future,0
3,LA,5,Future,0
3,LA,5,Future,0
3,LA,5,Future,0
3,LA,8,Stable,5
3,LA,8,Stable,2
3,LA,8,Stable,3.5
3,LA,8,Stable,2.5
3,LA,8,Current,15
3,LA,8,Current,11.5
3,LA,8,Current,16
3,LA,8,Current,15.5
3,LA,8,Future,22
3,LA,8,Future,25
3,LA,8,Future,23
3,LA,8,Future,25.5
4,LA,21,Stable,146
4,LA,21,Stable,120
4,LA,21,Stable,135.5
4,LA,21,Stable,139
4,LA,21,Current,105
4,LA,21,Current,100
4,LA,21,Current,99.5
4,LA,21,Current,103.5
4,LA,21,Future,77
4,LA,21,Future,78
4,LA,21,Future,79.5
4,LA,21,Future,74
4,LA,5,Stable,100
4,LA,5,Stable,100
4,LA,5,Stable,99
4,LA,5,Stable,98.5
4,LA,5,Current,160
4,LA,5,Current,185
4,LA,5,Current,172.5
4,LA,5,Current,171.5
4,LA,5,Future,339
4,LA,5,Future,315
4,LA,5,Future,329.5
4,LA,5,Future,331
4,LA,8,Stable,134
4,LA,8,Stable,199
4,LA,8,Stable,154
4,LA,8,Stable,139
4,LA,8,Current,130
4,LA,8,Current,134
4,LA,8,Current,131
4,LA,8,Current,129.5
4,LA,8,Future,185
4,LA,8,Future,160
4,LA,8,Future,164
4,LA,8,Future,172.5
5,LA,21,Stable,560
5,LA,21,Stable,492
5,LA,21,Stable,525
5,LA,21,Stable,499.5
5,LA,21,Current,148
5,LA,21,Current,220
5,LA,21,Current,211.5
5,LA,21,Current,189.5
5,LA,21,Future,376
5,LA,21,Future,360
5,LA,21,Future,374
5,LA,21,Future,357.5
5,LA,5,Stable,339
5,LA,5,Stable,335
5,LA,5,Stable,336
5,LA,5,Stable,329
5,LA,5,Current,400
5,LA,5,Current,390
5,LA,5,Current,392.5
5,LA,5,Current,333
5,LA,5,Future,385
5,LA,5,Future,440
5,LA,5,Future,425.5
5,LA,5,Future,436
5,LA,8,Stable,91
5,LA,8,Stable,80
5,LA,8,Stable,85
5,LA,8,Stable,79.5
5,LA,8,Current,42
5,LA,8,Current,39
5,LA,8,Current,41.5
5,LA,8,Current,35
5,LA,8,Future,80
5,LA,8,Future,82
5,LA,8,Future,81.5
5,LA,8,Future,86
6,LA,21,Stable,252
6,LA,21,Stable,302
6,LA,21,Stable,289
6,LA,21,Stable,262.5
6,LA,21,Current,121
6,LA,21,Current,140
6,LA,21,Current,134.5
6,LA,21,Current,139.5
6,LA,21,Future,308
6,LA,21,Future,305.5
6,LA,21,Future,330
6,LA,21,Future,319.5
6,LA,5,Stable,174
6,LA,5,Stable,150
6,LA,5,Stable,163.5
6,LA,5,Stable,160
6,LA,5,Current,100
6,LA,5,Current,85
6,LA,5,Current,89.5
6,LA,5,Current,92.5
6,LA,5,Future,132
6,LA,5,Future,144
6,LA,5,Future,141
6,LA,5,Future,138.5
6,LA,8,Stable,121
6,LA,8,Stable,122
6,LA,8,Stable,125.5
6,LA,8,Stable,128
6,LA,8,Current,300
6,LA,8,Current,340
6,LA,8,Current,321.5
6,LA,8,Current,311
6,LA,8,Future,230
6,LA,8,Future,252
6,LA,8,Future,247.5
6,LA,8,Future,236.5
7,LA,21,Stable,62
7,LA,21,Stable,78
7,LA,21,Stable,67.5
7,LA,21,Stable,71
7,LA,21,Current,200
7,LA,21,Current,176.5
7,LA,21,Current,179
7,LA,21,Current,184
7,LA,21,Future,187
7,LA,21,Future,215
7,LA,21,Future,199
7,LA,21,Future,205
7,LA,5,Stable,72
7,LA,5,Stable,76
7,LA,5,Stable,70.5
7,LA,5,Stable,71
7,LA,5,Current,58
7,LA,5,Current,55
7,LA,5,Current,52.5
7,LA,5,Current,52
7,LA,5,Future,47
7,LA,5,Future,53
7,LA,5,Future,49.5
7,LA,5,Future,51.5
7,LA,8,Stable,224
7,LA,8,Stable,217
7,LA,8,Stable,212.5
7,LA,8,Stable,218.5
7,LA,8,Current,188
7,LA,8,Current,193.5
7,LA,8,Current,229
7,LA,8,Current,209.5
7,LA,8,Future,377
7,LA,8,Future,356
7,LA,8,Future,399.5
7,LA,8,Future,390
8,LA,21,Stable,39
8,LA,21,Stable,42
8,LA,21,Stable,45
8,LA,21,Stable,36.5
8,LA,21,Current,29
8,LA,21,Current,27.5
8,LA,21,Current,30
8,LA,21,Current,31.5
8,LA,21,Future,21
8,LA,21,Future,21
8,LA,21,Future,24.5
8,LA,21,Future,18
8,LA,5,Stable,87
8,LA,5,Stable,88
8,LA,5,Stable,85.5
8,LA,5,Stable,92
8,LA,5,Current,71
8,LA,5,Current,76
8,LA,5,Current,86
8,LA,5,Current,90
8,LA,5,Future,152
8,LA,5,Future,139.5
8,LA,5,Future,125
8,LA,5,Future,148
8,LA,8,Stable,72
8,LA,8,Stable,74
8,LA,8,Stable,68.5
8,LA,8,Stable,75
8,LA,8,Current,49
8,LA,8,Current,45.5
8,LA,8,Current,47
8,LA,8,Current,48
8,LA,8,Future,63
8,LA,8,Future,72
8,LA,8,Future,78.5
8,LA,8,Future,89
9,LA,21,Stable,38
9,LA,21,Stable,35
9,LA,21,Stable,32
9,LA,21,Stable,24.5
9,LA,21,Current,30
9,LA,21,Current,30
9,LA,21,Current,28
9,LA,21,Current,31.5
9,LA,21,Future,36
9,LA,21,Future,35
9,LA,21,Future,39
9,LA,21,Future,37.5
9,LA,5,Stable,88
9,LA,5,Stable,90
9,LA,5,Stable,89.5
9,LA,5,Stable,90.5
9,LA,5,Current,60
9,LA,5,Current,52
9,LA,5,Current,63.5
9,LA,5,Current,56.5
9,LA,5,Future,88
9,LA,5,Future,112
9,LA,5,Future,94.5
9,LA,5,Future,102
9,LA,8,Stable,27
9,LA,8,Stable,18
9,LA,8,Stable,19
9,LA,8,Stable,26
9,LA,8,Current,21
9,LA,8,Current,18
9,LA,8,Current,20
9,LA,8,Current,19.5
9,LA,8,Future,15
9,LA,8,Future,18.5
9,LA,8,Future,22
9,LA,8,Future,25
12,LA,21,Stable,18
12,LA,21,Stable,11
12,LA,21,Stable,14
12,LA,21,Stable,9.5
12,LA,21,Current,9
12,LA,21,Current,13
