Day,Isolate,Temp,Lineage,Counts
3,OH,21,Stable,0
3,OH,21,Stable,0
3,OH,21,Stable,0.5
3,OH,21,Stable,0
3,OH,21,Current,3
3,OH,21,Current,1.5
3,OH,21,Current,2
3,OH,21,Current,1.5
3,OH,21,Future,2
3,OH,21,Future,2.5
3,OH,21,Future,1.5
3,OH,21,Future,3
3,OH,5,Stable,0
3,OH,5,Stable,0
3,OH,5,Stable,0
3,OH,5,Stable,0
3,OH,5,Current,0
3,OH,5,Current,0
3,OH,5,Current,0
3,OH,5,Current,0
3,OH,5,Future,0
3,OH,5,Future,0.5
3,OH,5,Future,0
3,OH,5,Future,0
3,OH,8,Stable,0
3,OH,8,Stable,0
3,OH,8,Stable,0
3,OH,8,Stable,0
3,OH,8,Current,0
3,OH,8,Current,0.5
3,OH,8,Current,0
3,OH,8,Current,0
3,OH,8,Future,0.5
3,OH,8,Future,0
3,OH,8,Future,0
3,OH,8,Future,0.5
4,OH,21,Stable,0.5
4,OH,21,Stable,0
4,OH,21,Stable,0.5
4,OH,21,Stable,0
4,OH,21,Current,47
4,OH,21,Current,44
4,OH,21,Current,52
4,OH,21,Current,46
4,OH,21,Future,76
4,OH,21,Future,53
4,OH,21,Future,60
4,OH,21,Future,79
4,OH,5,Stable,0
4,OH,5,Stable,0
4,OH,5,Stable,0.5
4,OH,5,Stable,0
4,OH,5,Current,1.5
4,OH,5,Current,1
4,OH,5,Current,0.5
4,OH,5,Current,0
4,OH,5,Future,0.5
4,OH,5,Future,0.5
4,OH,5,Future,0
4,OH,5,Future,1
4,OH,8,Stable,1
4,OH,8,Stable,0.5
4,OH,8,Stable,1
4,OH,8,Stable,0
4,OH,8,Current,2.5
4,OH,8,Current,1
4,OH,8,Current,1
4,OH,8,Current,3.5
4,OH,8,Future,10
4,OH,8,Future,12
4,OH,8,Future,6
4,OH,8,Future,10
5,OH,21,Stable,30.5
5,OH,21,Stable,32
5,OH,21,Stable,29.5
5,OH,21,Stable,35
5,OH,21,Current,72.5
5,OH,21,Current,64
5,OH,21,Current,78.5
5,OH,21,Current,69
5,OH,21,Future,105
5,OH,21,Future,125.5
5,OH,21,Future,134
5,OH,21,Future,110
5,OH,5,Stable,2.5
5,OH,5,Stable,2.5
5,OH,5,Stable,2
5,OH,5,Stable,3
5,OH,5,Current,12
5,OH,5,Current,16.5
5,OH,5,Current,11
5,OH,5,Current,15.5
5,OH,5,Future,32.5
5,OH,5,Future,23.5
5,OH,5,Future,29.5
5,OH,5,Future,28
5,OH,8,Stable,16.5
5,OH,8,Stable,16
5,OH,8,Stable,19
5,OH,8,Stable,15.5
5,OH,8,Current,24
5,OH,8,Current,23
5,OH,8,Current,22.5
5,OH,8,Current,21
5,OH,8,Future,81
5,OH,8,Future,81
5,OH,8,Future,80
5,OH,8,Future,82.5
6,OH,21,Stable,32
6,OH,21,Stable,51
6,OH,21,Stable,48.5
6,OH,21,Stable,45
6,OH,21,Current,68
6,OH,21,Current,64.5
6,OH,21,Current,48
6,OH,21,Current,53
6,OH,21,Future,68
6,OH,21,Future,64.5
6,OH,21,Future,63
6,OH,21,Future,68.5
6,OH,5,Stable,20.5
6,OH,5,Stable,22
6,OH,5,Stable,25.5
6,OH,5,Stable,26
6,OH,5,Current,73.5
6,OH,5,Current,94.5
6,OH,5,Current,83.5
6,OH,5,Current,79
6,OH,5,Future,144.5
6,OH,5,Future,129
6,OH,5,Future,146
6,OH,5,Future,119.5
6,OH,8,Stable,104
6,OH,8,Stable,85
6,OH,8,Stable,95
6,OH,8,Stable,101.5
6,OH,8,Current,27
6,OH,8,Current,21
6,OH,8,Current,23.5
6,OH,8,Current,22.5
6,OH,8,Future,119
6,OH,8,Future,126.5
6,OH,8,Future,120.5
6,OH,8,Future,120.5
7,OH,21,Stable,30.5
7,OH,21,Stable,23.5
7,OH,21,Stable,27
7,OH,21,Stable,31
7,OH,21,Current,57
7,OH,21,Current,70
7,OH,21,Current,63.5
7,OH,21,Current,69
7,OH,21,Future,70
7,OH,21,Future,42.5
7,OH,21,Future,64
7,OH,21,Future,58
7,OH,5,Stable,232
7,OH,5,Stable,179.5
7,OH,5,Stable,205
7,OH,5,Stable,225.5
7,OH,5,Current,100
7,OH,5,Current,125
7,OH,5,Current,118
7,OH,5,Current,104
7,OH,5,Future,260.5
7,OH,5,Future,358
7,OH,5,Future,320.5
7,OH,5,Future,297
7,OH,8,Stable,44
7,OH,8,Stable,40
7,OH,8,Stable,27.5
7,OH,8,Stable,31.5
7,OH,8,Current,7
7,OH,8,Current,8
7,OH,8,Current,19.5
7,OH,8,Current,23.5
7,OH,8,Future,102.5
7,OH,8,Future,91.5
7,OH,8,Future,98
7,OH,8,Future,100
8,OH,21,Stable,39.5
8,OH,21,Stable,5.5
8,OH,21,Stable,27.5
8,OH,21,Stable,19.5
8,OH,21,Current,72
8,OH,21,Current,47.5
8,OH,21,Current,56.5
8,OH,21,Current,69.5
8,OH,21,Future,48
8,OH,21,Future,62.5
8,OH,21,Future,51
8,OH,21,Future,58
8,OH,5,Stable,189
8,OH,5,Stable,138.5
8,OH,5,Stable,180
8,OH,5,Stable,159
8,OH,5,Current,47
8,OH,5,Current,36.5
8,OH,5,Current,41
8,OH,5,Current,45.5
8,OH,5,Future,227
8,OH,5,Future,205
8,OH,5,Future,215.5
8,OH,5,Future,211
8,OH,8,Stable,5
8,OH,8,Stable,6.5
8,OH,8,Stable,10
8,OH,8,Stable,8
8,OH,8,Current,24.5
8,OH,8,Current,29.5
8,OH,8,Current,27
8,OH,8,Current,21.5
8,OH,8,Future,42
8,OH,8,Future,86.5
8,OH,8,Future,70
8,OH,8,Future,71.5
9,OH,21,Stable,23
9,OH,21,Stable,19
9,OH,21,Stable,15.5
9,OH,21,Stable,13
9,OH,21,Current,31
9,OH,21,Current,28
9,OH,21,Current,30.5
9,OH,21,Current,19.5
9,OH,21,Future,52
9,OH,21,Future,47.5
9,OH,21,Future,51
9,OH,21,Future,50
9,OH,5,Stable,115
9,OH,5,Stable,117
9,OH,5,Stable,109.5
9,OH,5,Stable,113.5
9,OH,5,Current,38
9,OH,5,Current,40
9,OH,5,Current,36
9,OH,5,Current,29.5
9,OH,5,Future,133
9,OH,5,Future,121.5
9,OH,5,Future,139.5
9,OH,5,Future,135.5
9,OH,8,Stable,22
9,OH,8,Stable,25
9,OH,8,Stable,16.5
9,OH,8,Stable,20
9,OH,8,Current,32
9,OH,8,Current,30
9,OH,8,Current,32
9,OH,8,Current,29
9,OH,8,Future,35.5
9,OH,8,Future,32.5
9,OH,8,Future,38
9,OH,8,Future,30.5
11,OH,21,Stable,0
11,OH,21,Stable,0.5
11,OH,21,Stable,0
11,OH,21,Stable,0
11,OH,21,Current,7
11,OH,21,Current,1
11,OH,21,Current,5.5
11,OH,21,Current,2.5
11,OH,21,Future,24.5
11,OH,21,Future,12.5
11,OH,21,Future,18
11,OH,21,Future,21
11,OH,5,Stable,29
11,OH,5,Stable,31
11,OH,5,Stable,32
11,OH,5,Stable,25.5
11,OH,5,Current,75
11,OH,5,Current,45
11,OH,5,Current,51
11,OH,5,Current,31.5
11,OH,5,Future,65
