Day,Isolate,Temp,Lineage,Counts
4,NM,21,Stable,53.5
4,NM,21,Stable,50
4,NM,21,Stable,47
4,NM,21,Stable,52
4,NM,21,Current,13
4,NM,21,Current,13
4,NM,21,Current,10.5
4,NM,21,Current,12.5
4,NM,21,Future,19
4,NM,21,Future,15.5
4,NM,21,Future,18.5
4,NM,21,Future,17
4,NM,5,Stable,0
4,NM,5,Stable,0
4,NM,5,Stable,1
4,NM,5,Stable,0.5
4,NM,5,Current,4
4,NM,5,Current,2
4,NM,5,Current,3.5
4,NM,5,Current,1
4,NM,5,Future,0
4,NM,5,Future,2
4,NM,5,Future,1.5
4,NM,5,Future,0
4,NM,8,Stable,6
4,NM,8,Stable,8
4,NM,8,Stable,5.5
4,NM,8,Stable,5
4,NM,8,Current,17
4,NM,8,Current,17.5
4,NM,8,Current,15
4,NM,8,Current,18
4,NM,8,Future,6
4,NM,8,Future,7
4,NM,8,Future,6.5
4,NM,8,Future,5
4,TN,21,Stable,89
4,TN,21,Stable,85
4,TN,21,Stable,90.5
4,TN,21,Stable,88
4,TN,21,Current,52
4,TN,21,Current,60
4,TN,21,Current,54
4,TN,21,Current,66
4,TN,21,Future,189
4,TN,21,Future,200
4,TN,21,Future,183
4,TN,21,Future,195.5
4,TN,5,Stable,110
4,TN,5,Stable,115
4,TN,5,Stable,100.5
4,TN,5,Stable,120
4,TN,5,Current,0
4,TN,5,Current,1
4,TN,5,Current,0
4,TN,5,Current,2
4,TN,5,Future,6
4,TN,5,Future,2
4,TN,5,Future,5.5
4,TN,5,Future,3
4,TN,8,Stable,125
4,TN,8,Stable,81
4,TN,8,Stable,75.5
4,TN,8,Stable,111
4,TN,8,Current,16
4,TN,8,Current,19.5
4,TN,8,Current,15.5
4,TN,8,Current,13
4,TN,8,Future,35
4,TN,8,Future,30
4,TN,8,Future,37.5
4,TN,8,Future,25.5
5,NM,21,Stable,11
5,NM,21,Stable,8.5
5,NM,21,Stable,13
5,NM,21,Stable,9
5,NM,21,Current,4.5
5,NM,21,Current,7.5
5,NM,21,Current,9
5,NM,21,Current,8.5
5,NM,21,Future,15
5,NM,21,Future,20.5
5,NM,21,Future,22
5,NM,21,Future,19.5
5,NM,5,Stable,13
5,NM,5,Stable,12
5,NM,5,Stable,13.5
5,NM,5,Stable,13
5,NM,5,Current,6
5,NM,5,Current,5.5
5,NM,5,Current,8
5,NM,5,Current,8.5
5,NM,5,Future,7
5,NM,5,Future,5.5
5,NM,5,Future,8
5,NM,5,Future,10
5,NM,8,Stable,4
5,NM,8,Stable,11.5
5,NM,8,Stable,9
5,NM,8,Stable,7.5
5,NM,8,Current,24.5
5,NM,8,Current,21
5,NM,8,Current,27.5
5,NM,8,Current,23
5,NM,8,Future,13
5,NM,8,Future,13.5
5,NM,8,Future,11
5,NM,8,Future,14
5,TN,21,Stable,37
5,TN,21,Stable,49.5
5,TN,21,Stable,51
5,TN,21,Stable,43
5,TN,21,Current,89
5,TN,21,Current,82.5
5,TN,21,Current,84.5
5,TN,21,Current,91
5,TN,21,Future,57
5,TN,21,Future,44
5,TN,21,Future,48.5
5,TN,21,Future,50.5
5,TN,5,Stable,191
5,TN,5,Stable,204
5,TN,5,Stable,185
5,TN,5,Stable,189.5
5,TN,5,Current,36.5
5,TN,5,Current,29
5,TN,5,Current,41
5,TN,5,Current,44
5,TN,5,Future,62
5,TN,5,Future,59
5,TN,5,Future,63.5
5,TN,5,Future,68
5,TN,8,Stable,23
5,TN,8,Stable,40
5,TN,8,Stable,36
5,TN,8,Stable,29.5
5,TN,8,Current,27
5,TN,8,Current,30
5,TN,8,Current,31.5
5,TN,8,Current,28.5
5,TN,8,Future,36
5,TN,8,Future,38.5
5,TN,8,Future,40
5,TN,8,Future,35.5
6,NM,21,Stable,17
6,NM,21,Stable,14
6,NM,21,Stable,13.5
6,NM,21,Stable,15
6,NM,21,Current,2
6,NM,21,Current,5
6,NM,21,Current,4.5
6,NM,21,Current,3
6,NM,21,Future,2
6,NM,21,Future,5
6,NM,21,Future,7
6,NM,21,Future,3
6,NM,5,Stable,19
6,NM,5,Stable,15
6,NM,5,Stable,8
6,NM,5,Stable,10
6,NM,5,Current,30
6,NM,5,Current,32
6,NM,5,Current,28
6,NM,5,Current,15
6,NM,5,Future,14
6,NM,5,Future,19
6,NM,5,Future,16
6,NM,5,Future,25
6,NM,8,Stable,10
6,NM,8,Stable,8
6,NM,8,Stable,12
6,NM,8,Stable,18
6,NM,8,Current,17
6,NM,8,Current,12
6,NM,8,Current,10
6,NM,8,Current,12
6,NM,8,Future,27
6,NM,8,Future,14
6,NM,8,Future,10
6,NM,8,Future,15
6,TN,21,Stable,95
6,TN,21,Stable,95
6,TN,21,Stable,60
6,TN,21,Stable,73
6,TN,21,Current,99
6,TN,21,Current,105
6,TN,21,Current,101
6,TN,21,Current,108
6,TN,21,Future,42
6,TN,21,Future,27
6,TN,21,Future,33
6,TN,21,Future,34
6,TN,5,Stable,119.5
6,TN,5,Stable,105.5
6,TN,5,Stable,100
6,TN,5,Stable,113
6,TN,5,Current,55
6,TN,5,Current,58
6,TN,5,Current,40
6,TN,5,Current,50
6,TN,5,Future,92
6,TN,5,Future,90
6,TN,5,Future,103
6,TN,5,Future,118
6,TN,8,Stable,17
6,TN,8,Stable,14
6,TN,8,Stable,18
6,TN,8,Stable,22
6,TN,8,Current,32
6,TN,8,Current,30
6,TN,8,Current,28
6,TN,8,Current,28
6,TN,8,Future,40
6,TN,8,Future,43
6,TN,8,Future,37
6,TN,8,Future,36
7,NM,21,Stable,16
7,NM,21,Stable,15
7,NM,21,Stable,16
7,NM,21,Stable,11
7,NM,21,Current,2
7,NM,21,Current,3
7,NM,21,Current,3
7,NM,21,Current,3
7,NM,21,Future,11
7,NM,21,Future,13
7,NM,21,Future,7
7,NM,21,Future,9
7,NM,5,Stable,6
7,NM,5,Stable,5
7,NM,5,Stable,4
7,NM,5,Stable,4.5
7,NM,5,Current,18
7,NM,5,Current,19
7,NM,5,Current,16.5
7,NM,5,Current,20.5
7,NM,5,Future,12
7,NM,5,Future,18
7,NM,5,Future,16.5
7,NM,5,Future,17
7,NM,8,Stable,5
7,NM,8,Stable,8
7,NM,8,Stable,7
7,NM,8,Stable,10
7,NM,8,Current,3
7,NM,8,Current,4
7,NM,8,Current,4
7,NM,8,Current,5
7,NM,8,Future,4
7,NM,8,Future,8
7,NM,8,Future,8
7,NM,8,Future,6
7,TN,21,Stable,20
7,TN,21,Stable,21
7,TN,21,Stable,40
7,TN,21,Stable,35.5
7,TN,21,Current,146
7,TN,21,Current,168
7,TN,21,Current,150
7,TN,21,Current,170
7,TN,21,Future,48
7,TN,21,Future,55
7,TN,21,Future,61
7,TN,21,Future,63
7,TN,5,Stable,47
7,TN,5,Stable,33
7,TN,5,Stable,39
7,TN,5,Stable,60
7,TN,5,Current,65
7,TN,5,Current,77
7,TN,5,Current,60
7,TN,5,Current,57
7,TN,5,Future,67
7,TN,5,Future,75
7,TN,5,Future,54
7,TN,5,Future,74
7,TN,8,Stable,267
7,TN,8,Stable,300
7,TN,8,Stable,291
7,TN,8,Stable,274
7,TN,8,Current,58
7,TN,8,Current,50
7,TN,8,Current,48
7,TN,8,Current,45.5
7,TN,8,Future,16
7,TN,8,Future,11
7,TN,8,Future,10
7,TN,8,Future,6
8,NM,21,Stable,14
8,NM,21,Stable,21
8,NM,21,Stable,18.5
8,NM,21,Stable,15
8,NM,21,Current,1
8,NM,21,Current,3
8,NM,21,Current,4
8,NM,21,Current,3.5
8,NM,21,Future,0
8,NM,21,Future,2
8,NM,21,Future,1
8,NM,21,Future,0.5
8,NM,5,Stable,6
8,NM,5,Stable,6
8,NM,5,Stable,9
8,NM,5,Stable,5.5
8,NM,5,Current,16
8,NM,5,Current,20
8,NM,5,Current,18.5
8,NM,5,Current,17.5
8,NM,5,Future,9
8,NM,5,Future,13
8,NM,5,Future,11.5
8,NM,5,Future,8
8,NM,8,Stable,7
8,NM,8,Stable,3
8,NM,8,Stable,11.5
8,NM,8,Stable,4.5
8,NM,8,Current,4
8,NM,8,Current,0
8,NM,8,Current,2
8,NM,8,Current,3.5
8,NM,8,Future,3
8,NM,8,Future,1
8,NM,8,Future,2
8,NM,8,Future,0.5
8,TN,21,Stable,18
8,TN,21,Stable,24
8,TN,21,Stable,17
8,TN,21,Stable,15
8,TN,21,Current,119
8,TN,21,Current,119
8,TN,21,Current,112.5
8,TN,21,Current,114
8,TN,21,Future,30
8,TN,21,Future,37
8,TN,21,Future,34.5
8,TN,21,Future,36
8,TN,5,Stable,58
8,TN,5,Stable,62
8,TN,5,Stable,70
8,TN,5,Stable,48
8,TN,5,Current,18
8,TN,5,Current,24
8,TN,5,Current,22.5
8,TN,5,Current,19.5
8,TN,5,Future,47
8,TN,5,Future,42.5
8,TN,5,Future,41.5
8,TN,5,Future,42
8,TN,8,Stable,15
8,TN,8,Stable,19
8,TN,8,Stable,17.5
8,TN,8,Stable,15
8,TN,8,Current,41
8,TN,8,Current,26
8,TN,8,Current,36
8,TN,8,Current,48
8,TN,8,Future,22
8,TN,8,Future,24
8,TN,8,Future,21.5
8,TN,8,Future,25.5
9,NM,21,Stable,4
9,NM,21,Stable,5
9,NM,21,Stable,5.5
9,NM,21,Stable,3.5
9,NM,21,Current,2
9,NM,21,Current,2
