Day,Isolate,Temp,Lineage,Counts
4,VT,21,Stable,276
4,VT,21,Stable,272
4,VT,21,Stable,252
4,VT,21,Stable,244
4,VT,21,Current,48
4,VT,21,Current,77
4,VT,21,Current,72
4,VT,21,Current,52
4,VT,21,Future,152
4,VT,21,Future,139
4,VT,21,Future,143
4,VT,21,Future,122
4,VT,5,Stable,1
4,VT,5,Stable,0
4,VT,5,Stable,0
4,VT,5,Stable,0
4,VT,5,Current,0
4,VT,5,Current,0
4,VT,5,Current,0
4,VT,5,Current,0
4,VT,5,Future,0
4,VT,5,Future,0
4,VT,5,Future,0
4,VT,5,Future,0
4,VT,8,Stable,40
4,VT,8,Stable,50
4,VT,8,Stable,46
4,VT,8,Stable,43
4,VT,8,Current,2
4,VT,8,Current,7
4,VT,8,Current,0
4,VT,8,Current,0
4,VT,8,Future,40
4,VT,8,Future,30
4,VT,8,Future,40
4,VT,8,Future,38
6,VT,21,Stable,20
6,VT,21,Stable,18
6,VT,21,Stable,15
6,VT,21,Stable,22
6,VT,21,Current,53
6,VT,21,Current,41
6,VT,21,Current,44
6,VT,21,Current,30
6,VT,21,Future,13
6,VT,21,Future,3
6,VT,21,Future,8
6,VT,21,Future,7
6,VT,5,Stable,84
6,VT,5,Stable,68
6,VT,5,Stable,79
6,VT,5,Stable,72
6,VT,5,Current,120
6,VT,5,Current,98
6,VT,5,Current,122
6,VT,5,Current,128
6,VT,5,Future,82
6,VT,5,Future,84
6,VT,5,Future,64
6,VT,5,Future,83
6,VT,8,Stable,18
6,VT,8,Stable,21
6,VT,8,Stable,31
6,VT,8,Stable,28
6,VT,8,Current,8
6,VT,8,Current,2
6,VT,8,Current,4
6,VT,8,Current,7
6,VT,8,Future,15
6,VT,8,Future,20
6,VT,8,Future,31
6,VT,8,Future,28
7,VT,21,Stable,34
7,VT,21,Stable,32
7,VT,21,Stable,25
7,VT,21,Stable,29
7,VT,21,Current,5
7,VT,21,Current,7
7,VT,21,Current,4
7,VT,21,Current,7
7,VT,21,Future,41
7,VT,21,Future,41
7,VT,21,Future,46
7,VT,21,Future,51
7,VT,5,Stable,72
7,VT,5,Stable,69
7,VT,5,Stable,58
7,VT,5,Stable,68
7,VT,5,Current,56
7,VT,5,Current,68
7,VT,5,Current,46
7,VT,5,Current,45
7,VT,5,Future,64
7,VT,5,Future,89
7,VT,5,Future,54
7,VT,5,Future,90
7,VT,8,Stable,12
7,VT,8,Stable,11
7,VT,8,Stable,8
7,VT,8,Stable,9
7,VT,8,Current,3
7,VT,8,Current,1
7,VT,8,Current,1
7,VT,8,Current,2
7,VT,8,Future,18
7,VT,8,Future,10
7,VT,8,Future,6
7,VT,8,Future,18
9,VT,21,Stable,47
9,VT,21,Stable,52
9,VT,21,Stable,45
9,VT,21,Stable,50
9,VT,21,Current,18
9,VT,21,Current,20
9,VT,21,Current,30
9,VT,21,Current,28
9,VT,21,Future,49
9,VT,21,Future,44
9,VT,21,Future,49
9,VT,21,Future,47
9,VT,5,Stable,30
9,VT,5,Stable,30
9,VT,5,Stable,28
9,VT,5,Stable,19
9,VT,5,Current,19
9,VT,5,Current,22
9,VT,5,Current,24
9,VT,5,Current,18
9,VT,5,Future,20
9,VT,5,Future,39
9,VT,5,Future,20
9,VT,5,Future,26
9,VT,8,Stable,59
9,VT,8,Stable,50
9,VT,8,Stable,48
9,VT,8,Stable,45
9,VT,8,Current,4
9,VT,8,Current,8
9,VT,8,Current,2
9,VT,8,Current,5
9,VT,8,Future,49
9,VT,8,Future,70
9,VT,8,Future,35
9,VT,8,Future,27
11,VT,21,Stable,8
11,VT,21,Stable,7
11,VT,21,Stable,4
11,VT,21,Stable,4
11,VT,21,Current,11
11,VT,21,Current,10
11,VT,21,Current,10
11,VT,21,Current,7
11,VT,21,Future,9
11,VT,21,Future,11
11,VT,21,Future,11
11,VT,21,Future,10
11,VT,5,Stable,33
11,VT,5,Stable,23
11,VT,5,Stable,19
11,VT,5,Stable,25
11,VT,5,Current,2
11,VT,5,Current,4
11,VT,5,Current,1
11,VT,5,Current,4
11,VT,5,Future,35
11,VT,5,Future,35
11,VT,5,Future,31
11,VT,5,Future,26
11,VT,8,Stable,10
11,VT,8,Stable,9
11,VT,8,Stable,5
11,VT,8,Stable,6
11,VT,8,Current,2
11,VT,8,Current,1
11,VT,8,Current,1
11,VT,8,Current,0
11,VT,8,Future,13
11,VT,8,Future,10
11,VT,8,Future,12
11,VT,8,Future,13
13,VT,21,Stable,1
13,VT,21,Stable,2
13,VT,21,Stable,0
13,VT,21,Stable,1
13,VT,21,Current,0
13,VT,21,Current,5
13,VT,21,Current,2
13,VT,21,Current,3
13,VT,21,Future,6
13,VT,21,Future,4
13,VT,21,Future,4
13,VT,21,Future,1
13,VT,5,Stable,12
13,VT,5,Stable,9
13,VT,5,Stable,15
13,VT,5,Stable,19
13,VT,5,Current,0
13,VT,5,Current,0
13,VT,5,Current,1
13,VT,5,Current,0
13,VT,5,Future,18
13,VT,5,Future,16
13,VT,5,Future,10
13,VT,5,Future,11
13,VT,8,Stable,2
13,VT,8,Stable,4
13,VT,8,Stable,0
13,VT,8,Stable,0
13,VT,8,Current,0
13,VT,8,Current,0
13,VT,8,Current,0
13,VT,8,Current,0
13,VT,8,Future,2
13,VT,8,Future,1
13,VT,8,Future,3
13,VT,8,Future,3
